id,seid,episodeNumber,airDate,title
1,S01E01,1,5-Jul-89,"Good News, Bad News"
2,S01E02,2,31-May-90,The Stakeout
3,S01E03,3,7-Jun-90,The Robbery
4,S01E04,4,14-Jun-90,Male Unbonding
5,S01E05,5,21-Jun-90,The Stock Tip
6,S02E01,1,23-Jan-91,The Ex-Girlfriend
7,S02E02,2,30-Jan-91,The Pony Remark
8,S02E03,3,6-Feb-91,The Jacket
9,S02E04,4,13-Feb-91,The Phone Message
10,S02E05,5,4-Apr-91,The Apartment
11,S02E06,6,11-Apr-91,The Statue
12,S02E07,7,18-Apr-91,The Revenge
13,S02E08,8,25-Apr-91,The Heart Attack
14,S02E09,9,2-May-91,The Deal
15,S02E10,10,16-May-91,The Baby Shower
16,S02E11,11,23-May-91,The Chinese Restaurant
17,S02E12,12,26-Jun-91,The Busboy
18,S03E01,1,18-Sep-91,The Note
19,S03E02,2,25-Sep-91,The Truth
20,S03E03,3,2-Oct-91,The Pen
21,S03E04,4,9-Oct-91,The Dog
22,S03E05,5,16-Oct-91,The Library
23,S03E06,6,30-Oct-91,The Parking Garage
24,S03E07,7,6-Nov-91,The Cafe
25,S03E08,8,13-Nov-91,The Tape
26,S03E09,9,20-Nov-91,The Nose Job
27,S03E10,10,27-Nov-91,The Stranded
28,S03E11,11,4-Dec-91,The Alternate Side
29,S03E12,12,11-Dec-91,The Red Dot
30,S03E13,13,8-Jan-92,The Subway
31,S03E14,14,15-Jan-92,The Pez Dispenser
32,S03E15,15,29-Jan-92,The Suicide
33,S03E16,16,5-Feb-92,The Fix-Up
34,S03E17,17,12-Feb-92,The Boyfriend (1)
35,S03E18,18,12-Feb-92,The Boyfriend (2)
36,S03E19,19,26-Feb-92,The Limo
37,S03E20,20,4-Mar-92,The Good Samaritan
38,S03E21,21,25-Mar-92,The Letter
39,S03E22,22,22-Apr-92,The Parking Space
40,S03E23,23,6-May-92,The Keys
41,S04E01,1,12-Aug-92,The Trip (1)
42,S04E02,2,19-Aug-92,The Trip (2)
43,S04E03,3,16-Sep-92,The Pitch
44,S04E04,4,16-Sep-92,The Ticket
45,S04E05,5,23-Sep-92,The Wallet (1)
46,S04E06,6,30-Sep-92,The Watch (2)
47,S04E07,7,7-Oct-92,The Bubble Boy
48,S04E08,8,28-Oct-92,The Cheever Letters
49,S04E09,9,4-Nov-92,The Opera
50,S04E10,10,11-Nov-92,The Virgin
51,S04E11,11,18-Nov-92,The Contest
52,S04E12,12,25-Nov-92,The Airport
53,S04E13,13,16-Dec-92,The Pick
54,S04E14,14,6-Jan-93,The Movie
55,S04E15,15,27-Jan-93,The Visa
56,S04E16,16,4-Feb-93,The Shoes
57,S04E17,17,11-Feb-93,The Outing
58,S04E18,18,18-Feb-93,The Old Man
59,S04E19,19,25-Feb-93,The Implant
60,S04E20,20,18-Mar-93,The Junior Mint
61,S04E21,21,15-Apr-93,The Smelly Car
62,S04E22,22,13-May-93,The Handicap Spot
63,S04E23,23,20-May-93,The Pilot (1)
64,S04E24,24,20-May-93,The Pilot (2)
65,S05E01,1,16-Sep-93,The Mango
66,S05E02,2,23-Sep-93,The Puffy Shirt
67,S05E03,3,30-Sep-93,The Glasses
68,S05E04,4,7-Oct-93,The Sniffing Accountant
69,S05E05,5,14-Oct-93,The Bris
70,S05E06,6,28-Oct-93,The Lip Reader
71,S05E07,7,4-Nov-93,The Non-Fat Yogurt
72,S05E08,8,11-Nov-93,The Barber
73,S05E09,9,18-Nov-93,The Masseuse
74,S05E10,10,9-Dec-93,The Cigar Store Indian
75,S05E11,11,16-Dec-93,The Conversion
76,S05E12,12,6-Jan-94,The Stall
77,S05E13,13,3-Feb-94,The Dinner Party
78,S05E14,14,10-Feb-94,The Marine Biologist
79,S05E15,15,17-Feb-94,The Pie
80,S05E16,16,24-Feb-94,The Stand-In
81,S05E17,17,17-Mar-94,The Wife
